Instance_id,Product_id,Store_id,Week_id,Quantity,Promo,Promo_code
1,1273498,1,1,5,0,No Promo
2,1829013,1,2,51,1,3
3,1273498,1,3,32,1,4
4,1526546,1,4,49,1,3
5,1273498,1,5,52,1,3
6,1358379,1,6,2,0,No Promo
7,1202163,1,7,15,0,No Promo
8,1202963,1,8,5,1,2
9,1938449,1,9,35,0,No Promo
10,1345542,1,10,9,0,No Promo
11,1202163,1,11,45,1,4
12,1202963,1,12,41,1,1
13,1526546,1,13,27,1,1
14,1273498,1,14,49,1,3
15,1990160,1,15,36,0,No Promo
16,1082700,1,16,31,0,No Promo
17,1202963,1,17,9,0,No Promo
18,1358379,1,18,23,1,2
19,1358379,1,19,29,0,No Promo
20,1202963,1,20,27,0,No Promo
21,1273498,1,21,31,1,1
22,1358379,1,22,48,1,2
23,1829013,1,23,4,0,No Promo
24,1829013,1,24,16,1,1
25,1273498,1,25,29,1,4
26,1345542,1,26,45,1,4
27,1990160,1,27,49,1,1
28,1990160,1,28,29,0,No Promo
29,1445605,1,29,23,0,No Promo
30,1617330,1,30,26,0,No Promo
31,1338430,1,31,44,1,2
32,1345542,1,32,28,0,No Promo
33,1829013,1,33,34,1,1
34,1358379,1,34,30,0,No Promo
35,1445605,1,35,17,0,No Promo
36,1620561,1,36,11,0,No Promo
37,1944188,1,37,11,1,4
38,1476108,1,38,30,0,No Promo
39,1829013,1,39,52,1,3
40,1703768,1,40,47,1,1
41,1990160,1,41,27,0,No Promo
42,1273498,1,42,12,1,4
43,1476108,1,43,52,1,3
44,1445605,1,44,32,0,No Promo
45,1202963,1,45,10,1,4
46,1944188,1,46,22,0,No Promo
47,1273498,1,47,29,0,No Promo
48,1526546,1,48,27,0,No Promo
49,1082700,1,49,30,1,4
50,1526546,1,50,24,0,No Promo
51,1445605,1,51,12,0,No Promo
52,1990160,1,52,16,1,1
53,1202163,1,53,43,1,1
54,1703768,1,54,21,1,2
55,1620561,1,55,18,1,4
56,1526546,1,56,36,1,1
57,1202963,1,57,33,0,No Promo
58,1445605,1,58,35,0,No Promo
59,1526546,1,59,15,0,No Promo
60,1620561,1,60,41,1,4
61,1358379,1,61,20,0,No Promo
62,1300188,1,62,24,0,No Promo
63,1082700,1,63,3,1,1
64,1938449,1,64,56,1,3
65,1703768,1,65,32,0,No Promo
66,1526546,1,66,9,1,2
67,1944188,1,67,46,1,1
68,1703768,1,68,21,0,No Promo
69,1703768,1,69,3,1,4
70,1526546,1,70,32,1,4
71,1944188,1,71,17,0,No Promo
72,1082700,1,72,44,1,1
73,1358379,1,73,24,0,No Promo
74,1829013,1,74,38,0,No Promo
75,1358379,1,75,53,1,2
76,1476108,1,76,11,0,No Promo
77,1445605,1,77,34,0,No Promo
78,1345542,1,78,53,1,3
79,1338430,1,79,33,0,No Promo
80,1620561,1,80,31,1,2
81,1944188,1,81,20,1,4
82,1202163,1,82,53,1,3
83,1938449,1,83,3,1,4
84,1273498,1,84,28,1,1
85,1944188,1,85,19,0,No Promo
86,1300188,1,86,2,0,No Promo
87,1606603,1,87,50,1,3
88,1829013,1,88,30,1,2
89,1938449,1,89,11,1,1
90,1617330,1,90,38,0,No Promo
91,1829013,1,91,19,1,2
92,1617330,1,92,32,0,No Promo
93,1944188,1,93,39,0,No Promo
94,1082700,1,94,12,0,No Promo
95,1620561,1,95,39,1,4
96,1703768,1,96,52,1,3
97,1445605,1,97,2,0,No Promo
98,1526546,1,98,54,1,2
99,1990160,1,99,27,1,4
100,1358379,1,100,36,0,No Promo
101,1606603,1,101,46,1,1
102,1273498,1,102,45,1,3
103,1620561,1,103,15,0,No Promo
104,1202963,1,104,22,1,1
105,1990160,1,105,51,1,3
106,1526546,1,106,3,1,4
107,1990160,1,107,16,0,No Promo
108,1358379,1,108,13,1,4
109,1300188,1,109,36,0,No Promo
110,1476108,1,110,3,1,2
111,1938449,1,111,55,1,2
112,1476108,1,112,12,0,No Promo
113,1617330,1,113,17,0,No Promo
114,1944188,1,114,24,1,2
115,1944188,1,115,54,1,3
116,1338430,1,116,14,1,2
117,1703768,1,117,36,0,No Promo
118,1617330,1,118,10,0,No Promo
119,1345542,1,119,17,0,No Promo
120,1944188,1,120,48,1,3
121,1445605,1,121,46,1,3
122,1338430,1,122,18,1,1
123,1345542,1,123,25,1,4
124,1990160,1,124,20,0,No Promo
125,1617330,1,125,3,1,1
126,1606603,1,126,25,1,2
127,1990160,1,127,51,1,1
128,1300188,1,128,4,0,No Promo
129,1202163,1,129,14,1,1
130,1829013,1,130,35,1,1
131,1944188,1,131,48,1,3
132,1345542,1,132,55,1,3
133,1338430,1,133,47,1,4
134,1617330,1,134,38,1,4
135,1606603,1,135,28,0,No Promo
136,1990160,1,136,36,0,No Promo
137,1617330,1,137,43,1,4
138,1300188,1,138,20,0,No Promo
139,1300188,1,139,3,0,No Promo
140,1202163,1,140,33,1,2
141,1703768,1,141,7,0,No Promo
142,1526546,1,142,32,1,2
143,1345542,1,143,50,1,1
144,1990160,1,144,11,0,No Promo
145,1938449,1,145,50,1,3
146,1620561,1,146,37,0,No Promo
147,1526546,1,147,34,0,No Promo
148,1358379,1,148,51,1,3
149,1703768,1,149,48,1,3
150,1273498,1,150,11,0,No Promo
151,1300188,1,151,9,1,1
152,1606603,1,152,16,1,4
153,1944188,1,153,1,0,No Promo
154,1944188,1,154,18,1,4
155,1990160,1,155,4,0,No Promo
156,1938449,1,156,49,1,3
157,1990160,2,1,21,1,4
158,1082700,2,2,38,0,No Promo
159,1829013,2,3,30,0,No Promo
160,1345542,2,4,52,1,3
161,1082700,2,5,44,1,4
162,1938449,2,6,30,0,No Promo
163,1526546,2,7,27,0,No Promo
164,1938449,2,8,27,0,No Promo
165,1703768,2,9,36,0,No Promo
166,1202163,2,10,12,1,2
167,1300188,2,11,17,0,No Promo
168,1938449,2,12,29,0,No Promo
169,1526546,2,13,47,1,3
170,1620561,2,14,35,1,2
171,1829013,2,15,10,0,No Promo
172,1990160,2,16,39,0,No Promo
173,1300188,2,17,16,0,No Promo
174,1938449,2,18,32,0,No Promo
175,1202163,2,19,29,1,2
176,1944188,2,20,2,0,No Promo
177,1445605,2,21,23,0,No Promo
178,1526546,2,22,33,0,No Promo
179,1202163,2,23,49,1,3
180,1617330,2,24,20,0,No Promo
181,1345542,2,25,39,1,1
182,1202163,2,26,48,1,1
183,1526546,2,27,18,0,No Promo
184,1445605,2,28,45,1,4
185,1202163,2,29,23,1,4
186,1358379,2,30,55,1,2
187,1620561,2,31,58,1,3
188,1938449,2,32,34,0,No Promo
189,1273498,2,33,37,0,No Promo
190,1944188,2,34,20,0,No Promo
191,1300188,2,35,37,1,2
192,1606603,2,36,49,1,4
193,1526546,2,37,26,1,1
194,1445605,2,38,39,0,No Promo
195,1990160,2,39,45,1,2
196,1476108,2,40,49,1,2
197,1300188,2,41,14,0,No Promo
198,1476108,2,42,55,1,1
199,1526546,2,43,11,1,4
200,1445605,2,44,20,0,No Promo
